date,obspcp,calibpcp,gcmpcp
1962/2/2,0,0.043378856,0.11290941
1962/2/3,0,0.063122306,0.064923271
1962/2/4,0,0.062193695,0.107885666
1962/2/5,0,0.046887004,0.068964984
1962/2/6,0,0.109609066,0.094462354
1962/2/7,0,0.061580525,0.123849576
1962/2/8,0,0.092243012,0.168132197
1962/2/9,0.6,0.074930216,0.101777288
1962/2/10,1.1,0.09387117,0.141975354
1962/2/11,0,0.057393723,0.085125833
1962/2/12,0,0.060254639,0.096672838
1962/2/13,0,0.049463267,0.095759484
1962/2/14,0.2,0.055379565,0.097273059
1962/2/15,0,0.089708661,0.092996316
1962/2/16,0.6,0.092044783,0.05899502
1962/2/17,0.2,0.05490581,0.037809471
1962/2/18,0,0.105342664,0.056868252
1962/2/19,0.8,0.08947609,0.095797491
1962/2/20,1.1,0.067686338,0.061914527
1962/2/21,0.1,0.066212484,0.058225975
1962/2/22,0.2,0.048343689,0.10697232
1962/2/23,0,0.076210589,0.061366918
1962/2/24,0,0.128519693,0.118178403
1962/2/25,0,0.094791215,0.118758172
1962/2/26,0.3,0.05057702,0.07620375
1962/2/27,0,0.099488044,0.084503714
1962/2/28,0,0.125441773,0.038728424
1962/3/1,0,0.217519217,0.096309155
1962/3/2,0,0.102137516,0.151200277
1962/3/3,1.3,0.165897526,0.180376714
1962/3/4,0,0.139471026,0.150304494
1962/3/5,0.6,0.161581102,0.083562542
1962/3/6,1.4,0.07295544,0.127217708
1962/3/7,0.3,0.14472613,0.118626218
1962/3/8,0.8,0.087553245,0.194651408
1962/3/9,0,0.190720201,0.100362846
1962/3/10,0,0.147770845,0.118263164
1962/3/11,0,0.130205743,0.173382693
1962/3/12,0,0.129850471,0.111901245
1962/3/13,0,0.125417273,0.212678561
1962/3/14,0,0.180370965,0.100736754
1962/3/15,0,0.154725166,0.071244767
1962/3/16,0.6,0.10128258,0.162142123
1962/3/17,0,0.201386984,0.104184804
1962/3/18,0,0.171111188,0.169207385
1962/3/19,0,0.164674703,0.136551295
1962/3/20,0,0.19098317,0.158644843
1962/3/21,0,0.197540218,0.137072354
1962/3/22,0,0.063313668,0.176007681
1962/3/23,0,0.134313557,0.172733407
1962/3/24,0.2,0.119792732,0.087101346
1962/3/25,0.2,0.135515611,0.08900664
1962/3/26,0,0.105846453,0.147158693
1962/3/27,0,0.177301372,0.144459334
1962/3/28,0,0.234684936,0.115349182
1962/3/29,0,0.131341482,0.135946271
1962/3/30,0,0.110722261,0.110012225
1962/3/31,0,0.12449118,0.152292403
1962/4/1,0,0.239508316,0.223013264
1962/4/2,0,0.304746417,0.393152571
1962/4/3,0.1,0.370116863,0.463376573
1962/4/4,0.2,0.314373763,0.440239363
1962/4/5,0,0.285105316,0.384668466
1962/4/6,0.1,0.473859841,0.336198864
1962/4/7,0.5,0.342878962,0.56218481
1962/4/8,0,0.48489069,0.642042938
1962/4/9,0,0.406569334,0.709988072
1962/4/10,0,0.388425578,0.410100676
1962/4/11,0,0.28284398,0.409084031
1962/4/12,0,0.250992949,0.353136013
1962/4/13,0,0.309659902,0.292806678
1962/4/14,0,0.311640973,0.365519274
1962/4/15,0,0.506624269,0.30634717
1962/4/16,0,0.39542723,0.300785849
1962/4/17,0.1,0.431334223,0.40053358
1962/4/18,2.1,0.580286745,0.288444117
1962/4/19,0.3,0.324998588,0.259628917
1962/4/20,0,0.214988227,0.286639904
1962/4/21,0,0.336672732,0.29843745
1962/4/22,0,0.246357442,0.248117213
1962/4/23,0,0.338651311,0.288315477
1962/4/24,0,0.402073577,0.410801684
1962/4/25,0,0.449894844,0.216524176
1962/4/26,0,0.317163178,0.431821602
1962/4/27,0.3,0.299745525,0.299435984
1962/4/28,1.4,0.52543755,0.421031331
1962/4/29,0,0.228594274,0.389495238
1962/4/30,7.5,0.534730779,0.369285354
