date,obspcp,calibpcp,gcmpcp
1962/4/24,0,0.54487,0.48907
1962/4/25,0,0.70295,0.38525
1962/4/26,0,0.5356,0.51125
1962/4/27,0.3,0.58081,0.61896
1962/4/28,1.4,0.25133,0.70944
1962/4/29,0,0.64376,0.5585
1962/4/30,7.5,0.4863,0.41269
1962/5/1,0.1,1.02917,0.75478
1962/5/2,0,0.68598,1.11584
1962/5/3,0.9,0.85411,1.47508
1962/5/4,1.6,0.91363,0.65147
1962/5/5,4.2,0.72902,0.81413
1962/5/6,3.6,0.96731,0.64769
1962/5/7,0.4,1.59949,1.19776
1962/5/8,2,1.01897,1.10376
1962/5/9,4.1,1.2187,0.68803
1962/5/10,0.7,1.38075,0.80938
1962/5/11,0,1.27418,0.99695
1962/5/12,1.4,1.2773,0.79408
1962/5/13,0,1.24272,0.98416
1962/5/14,0,1.5487,1.13927
1962/5/15,0.9,1.31447,1.20033
1962/5/16,3.5,1.37253,1.1411
1962/5/17,0,1.28382,1.22836
1962/5/18,1,1.68216,0.86533
1962/5/19,8.5,1.53008,0.9818
1962/5/20,0.7,1.87049,1.29984
1962/5/21,0,1.44631,1.70751
1962/5/22,0.2,1.04814,1.02861
1962/5/23,0,1.21085,0.6633
1962/5/24,4.1,1.78978,0.84513
1962/5/25,0.1,1.82744,0.9481
1962/5/26,2.6,1.83073,1.44032
1962/5/27,0.8,1.55358,1.08337
1962/5/28,0.1,1.40955,1.09497
1962/5/29,0.5,1.24925,1.41859
1962/5/30,0.7,1.61637,0.8118
1962/5/31,5.6,1.29805,0.8899
1962/6/1,1.7,2.72837,4.13063
1962/6/2,7.2,3.59747,3.31422
1962/6/3,1.9,4.03286,4.11298
1962/6/4,4.4,3.85296,5.84547
1962/6/5,2.1,3.1448,3.18343
1962/6/6,7.9,3.64202,3.50195
1962/6/7,2,4.10628,3.35936
1962/6/8,0.4,3.05688,3.38552
1962/6/9,0.3,3.88484,4.00444
1962/6/10,0,4.02062,3.7271
1962/6/11,0,3.34077,4.45024
1962/6/12,0,4.22241,4.17196
1962/6/13,0,4.2514,3.68
1962/6/14,0,2.67957,4.71187
1962/6/15,1.3,3.56601,4.24872
1962/6/16,0.2,3.384,3.35372
1962/6/17,3.5,3.60249,3.06248
1962/6/18,1.6,4.0331,4.12192
1962/6/19,0,3.0006,3.05354
1962/6/20,0,3.27032,4.63699
1962/6/21,21.2,3.78986,3.91765
1962/6/22,2.2,3.55776,3.48538
1962/6/23,7.5,4.44706,3.90214
1962/6/24,7.1,4.99675,3.35989
1962/6/25,6.5,3.46833,3.7579
1962/6/26,8.4,2.57428,3.87771
1962/6/27,0,4.23708,3.15261
1962/6/28,4.8,3.88381,3.29138
1962/6/29,27,3.07619,4.00062
1962/6/30,6.5,3.68979,3.2827
1962/7/1,2.5,3.33229,4.65537
1962/7/2,2,3.63903,5.29871
1962/7/3,4.2,3.33916,5.57462
1962/7/4,6.1,5.49706,6.09387
1962/7/5,11.7,6.03501,5.87279
1962/7/6,6.6,3.73599,4.52563
1962/7/7,0,4.31337,5.0733
1962/7/8,0,3.6046,6.64395
1962/7/9,3.4,5.91694,5.32168
1962/7/10,13.2,5.19274,4.39235
1962/7/11,5.2,5.69353,6.21413
1962/7/12,6.2,5.19239,5.1882
1962/7/13,8.4,4.96839,5.56641
1962/7/14,3.6,3.49838,4.8808
1962/7/15,7.5,3.7035,5.9796
1962/7/16,12.9,5.10527,4.89939
1962/7/17,4.5,3.47096,4.02718
1962/7/18,7.5,3.44742,5.11511
1962/7/19,1.8,3.02222,5.86613
1962/7/20,4.3,3.8262,5.75538
1962/7/21,0.5,3.71259,5.31974
1962/7/22,5.3,3.62908,5.50907
1962/7/23,0.2,4.21852,5.40253
1962/7/24,0,2.71654,5.91593
1962/7/25,20.5,5.05636,5.25764
1962/7/26,12.8,4.02372,5.51379
1962/7/27,0,2.38763,4.34612
1962/7/28,0,3.39472,4.37531
1962/7/29,0,3.70743,5.79003
1962/7/30,1,3.71314,5.18015
1962/7/31,3.9,3.71185,5.44351
1962/8/1,0.1,2.98464,4.19144
1962/8/2,0,3.58235,3.5013
1962/8/3,1.4,2.82779,3.49254
1962/8/4,18.1,3.05616,4.34734
1962/8/5,3.2,2.46983,4.28424
1962/8/6,4.4,2.57749,5.34124
1962/8/7,10.9,2.60408,5.38464
1962/8/8,0.5,2.80235,3.27716
1962/8/9,0,3.7792,4.28197
1962/8/10,15.4,2.51193,3.59413
1962/8/11,5.2,2.84505,3.98544
1962/8/12,3.1,2.99148,5.36418
1962/8/13,10.2,2.2769,4.27409
1962/8/14,1.5,2.75601,4.84522
1962/8/15,0,3.25895,3.4843
1962/8/16,3.1,3.14735,3.63012
1962/8/17,0.2,2.66585,3.77834
1962/8/18,7.4,3.86331,3.27291
1962/8/19,0.5,3.63441,3.97631
1962/8/20,12,3.22933,4.58246
1962/8/21,0.8,3.98115,3.46214
1962/8/22,1.3,3.14697,3.27703
1962/8/23,2.1,3.55657,3.68006
1962/8/24,4.6,3.55688,3.02043
1962/8/25,3.5,3.68842,3.51162
1962/8/26,0,3.60233,3.69399
1962/8/27,2.3,2.49435,3.11411
1962/8/28,2.6,3.14272,3.37861
1962/8/29,1.4,3.15763,2.26289
1962/8/30,1.8,2.86239,4.49693
1962/8/31,0,3.81054,3.70496
1962/9/1,0,2.67704,2.0517
1962/9/2,2.3,3.79465,2.71214
1962/9/3,13.7,3.23011,2.25879
1962/9/4,3.4,2.70291,2.21457
1962/9/5,12.7,2.99046,1.80982
1962/9/6,0,2.9375,1.84834
1962/9/7,0,3.92546,2.83363
